time,humid_sht4x,pressure_bmp280,temp_bmp280,temp_sht4x
2024/04/03 21:22:35,,,33.38,32.16
2024/04/03 21:23:35,51.21,1005.01,33.3,32.06
2024/04/03 21:24:35,50.19,1005.06,33.12,31.93
2024/04/03 21:25:35,49.62,1005.04,33,31.41
2024/04/03 21:26:35,49.85,1005.06,32.8,31.16
2024/04/03 21:27:35,48.07,1005.05,32.88,31.75
2024/04/03 21:28:35,47.15,1005.08,32.65,31.12
2024/04/03 21:29:35,45.84,1005.05,32.91,31.19
2024/04/03 21:30:35,44.96,1005.1,33.18,31.2
2024/04/03 21:31:38,44.17,1005.11,33.15,31.3
2024/04/03 21:32:35,48.27,1005.16,32.51,30.82
2024/04/03 21:33:35,50.35,1005.13,32.55,31.32
2024/04/03 21:34:35,52.2,1005.14,32.82,31.36
2024/04/03 21:35:35,53.74,1005.12,32.78,31.59
2024/04/03 21:36:35,53.38,1005.11,33.09,32.1
2024/04/03 21:37:37,51.34,1005.09,33.62,32.4
2024/04/03 21:38:35,49.52,1005.11,33.83,32.38
2024/04/03 21:39:36,49.17,1005.11,33.61,31.91
2024/04/03 21:40:35,49.53,1005.14,33.68,31.85
2024/04/03 21:41:36,49.26,1005.16,33.57,32.02
2024/04/03 21:42:35,49.26,1005.15,33.27,31.47
2024/04/03 21:43:35,49.11,1005.17,32.78,31.03
2024/04/03 21:44:35,48.06,1005.17,33.11,31.26
2024/04/03 21:45:35,47.25,1005.19,32.97,31.16
2024/04/03 21:46:35,49.96,1005.23,32.64,30.89
2024/04/03 21:47:36,51.51,1005.25,32.67,31.16
2024/04/03 21:48:35,53.29,1005.25,32.63,31.44
2024/04/03 21:49:35,55.02,1005.25,32.58,31.63
2024/04/03 21:50:35,55.74,1005.24,32.67,31.71
2024/04/03 21:51:35,52.74,1005.25,33.16,32.17
2024/04/03 21:52:35,52.47,1005.18,33,31.87
2024/04/03 21:53:35,51.5,1005.25,32.75,31.53
2024/04/03 21:54:35,51.08,1005.3,32.58,31.44
2024/04/03 21:55:37,50.46,1005.32,32.29,30.95
2024/04/03 21:56:35,49.78,1005.36,32.09,30.79
2024/04/03 21:57:35,49.01,1005.39,32.33,30.37
2024/04/03 21:58:35,48.13,1005.38,32.42,31.17
2024/04/03 21:59:35,51.63,1005.42,32.17,30.7
2024/04/03 22:00:35,52.93,1005.43,32.26,31.25
2024/04/03 22:01:35,53.71,1005.44,32.51,31.31
2024/04/03 22:02:35,55.62,1005.47,32.44,31.11
2024/04/03 22:03:35,53.17,1005.5,32.91,31.68
2024/04/03 22:04:35,52.33,1005.53,32.76,31.51
2024/04/03 22:05:35,51.38,1005.58,32.47,31.16
2024/04/03 22:06:35,50.53,1005.57,32.37,31.02
2024/04/03 22:07:35,49.58,1005.61,32.23,31.01
2024/04/03 22:08:35,47.71,1005.65,32.18,31.52
2024/04/03 22:09:35,46.82,1005.62,32.62,31.39
2024/04/03 22:10:36,45.36,1005.56,32.98,31.46
2024/04/03 22:11:35,47.91,1005.63,32.56,31.28
2024/04/03 22:12:35,51.24,1005.61,32.39,31
2024/04/03 22:13:35,52.45,1005.61,32.34,31.24
2024/04/03 22:14:35,52.93,1005.66,32.69,31.33
2024/04/03 22:15:35,53.9,1005.67,32.55,31.58
2024/04/03 22:16:35,53.01,1005.64,32.83,31.87
2024/04/03 22:17:35,49.86,1005.63,33.24,32.66
2024/04/03 22:18:35,49.86,1005.65,32.96,31.86
2024/04/03 22:19:35,47.92,1005.66,32.89,32.03
